Date	Name	Duration	
01.01.2018	Oh my Goods	0.4	Lonsdale 1 - win (37 pts - 72 food)
01.01.2018	Oh my Goods	0.4	Lonsdale 2 - lose (26 pts - 28 material)
01.01.2018	Oh my Goods	0.4	Lonsdale 2 - lose (31 pts - 40 material)
01.01.2018	Oh my Goods	0.4	Lonsdale 3 - win (40 pts - 80 clothes)
02.01.2018	Oh my Goods	0.4	Lonsdale 4 - win (32 pts - 60 weapons)
03.01.2018	Oh my Goods	0.4	Lonsdale 5 - lose (29 pts)
03.01.2018	Oh my Goods	0.4	Lonsdale 5 - lose (22 pts)
03.01.2018	Hoplomachus Origins	0.3	Trial 7 - win
06.01.2018	Hoplomachus Origins	0.3	Trial 8 - lose
06.01.2018	Hoplomachus Origins	0.2	Trial 8 - lose
06.01.2018	Hoplomachus Origins	0.2	Trial 8 - lose
06.01.2018	Hoplomachus Origins	0.2	Trial 8 - lose
06.01.2018	Hoplomachus Origins	0.2	Trial 8 - win
06.01.2018	Hoplomachus Origins	0.2	Trial 9 - win
06.01.2018	Hoplomachus Origins	0.2	Trial 10 - win
06.01.2018	Hoplomachus Origins	0.15	Trial 11 - lose
06.01.2018	Hoplomachus Origins	0.15	Trial 12 - win
06.01.2018	Rallyman	0.4	January Cup Race
06.01.2018	Leaving Earth	1.5	Hard - lose
07.01.2018	Nusfjord	1	42 pts (elders)
07.01.2018	Nusfjord	0.7	46 pts (boats)
07.01.2018	Nusfjord	0.7	33 pts (buildings)
07.01.2018	Terraforming Mars	1	Helion - win - 77 pts
08.01.2018	Spirit Island	1.25	Shadows flicker like flame - easy - lose
08.01.2018	Spirit Island	1	Shadows flicker like flame - easy - win
09.01.2018	Spirit Island	0.7	River surges in sunlight - easy - win
09.01.2018	Spirit Island	0.7	Vital strength of the earth - easy - win
09.01.2018	Spirit Island	1.4	Thunderspeaker - easy - win
12.01.2018	Pandemic Legacy S2	1.5	Prologue - win
13.01.2018	Spirit Island	0.75	A Spread of Rampant Green - easy - win
13.01.2018	Spirit Island	0.75	Ocena's Hungry Grasp - easy - win
13.01.2018	Spirit Island	0.75	Bringer of Dreams and Nightmares - easy - win
13.01.2018	Spirit Island	0.75	Lightning's Swift Strike - Prussia 2 - lose
13.01.2018	Spirit Island	0.5	Lightning's Swift Strike - Prussia 2 - lose
14.01.2018	Too Many Bones	2	Patches vs Drellen - lose
14.01.2018	Too Many Bones	1.5	Patches vs Drellen - lose
15.01.2018	Too Many Bones	3	Patches + Picket vs Drellen - win
19.01.2018	Too Many Bones	3	Patches + Picket + Tantrum vs Nom - win
21.01.2018	Too Many Bones	3.5	Patches + Picket + Tantrum vs Mulmesh - win
24.01.2018	Too Many Bones	2.5	Patches + Picket + Tantrum + Boomer vs Gendricks - win
27.01.2018	Too Many Bones	3	Patches + Picket + Tantrum + Boomer vs Goblin King- win
27.01.2018	Hero Realms	0.4	Encounter 1: -38
27.01.2018	Hero Realms	0.2	Encounter 1: -45
27.01.2018	Hero Realms	0.3	Encounter 1: -38
27.01.2018	Hero Realms	0.4	Encounter 1: -19
27.01.2018	Hero Realms	0.2	Encounter 1: -37
27.01.2018	Hero Realms	0.3	Encounter 1: 38
28.01.2018	Hero Realms	0.4	Encounter 2: 53
28.01.2018	Hero Realms	1	Encounter 3 (Ingarash): 63
28.01.2018	Glass Road	0.8	No random variant - 34 pts
28.01.2018	Clans of Caledonia	1.5	Didn't pay for contracts on last turn
30.01.2018	Nusfjord	0.5	Makrele - Campaign 1 - 34 pts
30.01.2018	Nusfjord	0.5	Makrele - Campaign 2 - 39 pts
30.01.2018	Nusfjord	0.5	Makrele - Campaign 3 - 33 pts
03.02.2018	Space Empires: 4X	2	Doomsday - easy - lose
03.02.2018	Rallyman	0.5	January Cup Race
03.02.2018	Terraforming Mars	0.5	credicor - messed up rules and took 20 creds extra
04.02.2018	Terraforming Mars	0.8	credicor - 80 pts
04.02.2018	Terraforming Mars	0.8	UNMI - 87 pts
07.02.2018	Forge War	4	Epic - 643 pts
10.02.2018	Lord of the Rings - LCG	1.25	Hobbits - Journey along the Anduin - win
10.02.2018	Lord of the Rings - LCG	1.1	Hobbits - Saga 1 - A shadow of the past - win
