Date	Name	Duration	
10.02.2018	Lord of the Rings - LCG	1	Hobbits - Saga 2 - A knife in the dark - lose
10.02.2018	Lord of the Rings - LCG	1	Hobbits - Saga 2 - A knife in the dark - win
11.02.2018	Lord of the Rings - LCG	1.2	Hobbits - Saga 3 - Flight to the ford - win
12.02.2018	Lord of the Rings - LCG	0.8	Hobbits - Saga 4 - The ring goes south - win
14.02.2018	Lord of the Rings - LCG	1.2	Hobbits - Saga 5 - Journey in the dark - win
15.02.2018	Lord of the Rings - LCG	1	Hobbits - Saga 6 - Breaking of the Fellowship - win
16.02.2018	La Granja - No Siesta	1.3	Mad, Happy, Shannon, Boy
17.02.2018	Lord of the Rings - LCG	0.5	Hobbits - Saga 7 - The Uruk-Hai - lose
17.02.2018	Lord of the Rings - LCG	0.2	Hobbits - Saga 7 - The Uruk-Hai - lose
17.02.2018	Nusfjord	0.6	Codfish - Campaign 1 - 30 pts
18.02.2018	Nusfjord	0.5	Codfish - Campaign 2 - 34 pts
18.02.2018	Nusfjord	0.4	Codfish - Campaign 3 - 29 pts
18.02.2018	Nusfjord	0.5	All decks - 35 pts
18.02.2018	Terraforming Mars	0.9	Aphrodite - 75 pts
18.02.2018	Terraforming Mars	0.9	Celestic - 82 pts
19.02.2018	Terraforming Mars	0.8	Manutech - 75 pts
19.02.2018	Terraforming Mars	0.8	Morning Star Inc. - 71 pts
20.02.2018	Steampunk Rally	2	Mad, Shannon, Sue, Mao
24.02.2018	Lisboa	3	Tester
25.02.2018	Legends of Andor: Chada and Thorn	0.6	Die Sturmklippen - 2 friends - lose
26.02.2018	Lisboa	2	1 majority short of winning highest category
04.03.2018	The Pursuit of Happiness	0.8	2 goals - 39 pts - lose
04.03.2018	The Pursuit of Happiness	0.7	3 goals - 58 pts - win
05.03.2018	The Pursuit of Happiness	0.6	3 goals - 43 pts - lose
11.03.2018	Fallout	1.5	The Commonwealth - 16 inf
11.03.2018	Fallout	1.5	The Capital Wasteland - 16 inf
17.03.2018	Black Orchestra	1.5	win
18.03.2018	Pandemic: The Cure	0.7	Dispatcher - Medic - Archivist - win
18.03.2018	Pandemic: The Cure	0.6	Scienties - Celebrity Activist - Field Director - lose
18.03.2018	Sylvion	0.6	win
18.03.2018	Glass Road	0.5	22 pts
18.03.2018	Glass Road	0.5	27 pts
21.03.2018	Aventuria	0.6	Silvanas - normal - win
22.03.2018	Aventuria	0.5	Warrior - Silvanas - normal - lose
22.03.2018	Aventuria	0.5	Warrior - Silvanas - normal - win
22.03.2018	Aventuria	0.5	Warrior - Wildenstein 1 - normal - win
24.03.2018	Rallyman	0.6	March rally
25.03.2018	Terraforming Mars	0.7	Last venus corp - win - 73 pts
25.03.2018	FUSE	0.2	Insane - 1 card in hand - win
25.03.2018	FUSE	0.2	Insane - 7 bombs remaining - lose
25.03.2018	FUSE	0.2	Insane - 3 bombs remaining - lose
26.03.2018	Race for the Galaxy	0.6	learning game - invalid score
26.03.2018	Race for the Galaxy	0.6	Alpha Centauri vs Earth's lost Colony (easy): 32 - 39
26.03.2018	Race for the Galaxy	0.5	Earth's Lost Colony vs Epsilon Eridani (easy): 25 - 37
27.03.2018	Legends of Andor: Chada and Thorn	0.7	Scenario 1 - win
31.03.2018	Roads & Boats	1.25	Row, row, row your boat - 220 pts (1/0/2/8)
31.03.2018	Roads & Boats	1	Row, row, row your boat - 220 pts (0/2/6/8)
31.03.2018	Roads & Boats	1	Row, row, row your boat - 240 pts (1/0/5/7)
01.04.2018	Roads & Boats	0.8	Row, row, row your boat - 180 pts (0/2/3/7)
01.04.2018	Roads & Boats	0.8	Row, row, row your boat - 240 pts (1/1/0/8)
02.04.2018	Roads & Boats	0.8	Row, row, row your boat - 220 pts (0/3/3/7)
02.04.2018	Roads & Boats	0.7	Row, row, row your boat - 200 pts (0/2/6/6)
05.04.2018	Roads & Boats	0.6	Row, row, row your boat - 240 pts (1/0/6/6)
05.04.2018	Roads & Boats	0.5	Row, row, row your boat - 210 pts (0/2/6/7)
05.04.2018	Apex: Theropod	0.5	Velociraptor vs Spinosaurus - win
06.04.2018	Aeons End	1	Carapace Queen - lose
06.04.2018	Nations	1	Vikings - 17 VP
06.04.2018	Hero Realms	0.5	Ruins of Thandar - Encounter 1 - Cleric - win
07.04.2018	Hero Realms	0.2	Ruins of Thandar - Encounter 2 - Cleric - lose
07.04.2018	Hero Realms	0.2	Ruins of Thandar - Encounter 2 - Cleric - lose
07.04.2018	Hero Realms	0.4	Ruins of Thandar - Encounter 2 - Cleric - win
07.04.2018	Hero Realms	0.5	Ruins of Thandar - Encounter 3 - Cleric - win
14.04.2018	51st State	1	New York - Base + New Era - 47 pts
15.04.2018	51st State	1.25	New York - Base + New Era - 67 pts
22.04.2018	Sherlock Holmes	2	Case 2
25.04.2018	Rallyman	0.5	April rally
27.04.2018	Witches of the Revolution	1	Easy - 1 handed - win
28.04.2018	Witches of the Revolution	1	No blessings - 2 handed - win
29.04.2018	Scythe	1.5	Rusviet (Automa - 52) - Saxony (Automa - 50) - Albion (me - 48)
30.04.2018	Scythe	1.5	Rusviet (Automa - 79) - Saxony (Automa - 44) - Albion (me - 55)
01.05.2018	Scythe	1.5	Rusviet (Automa - 69) - Saxony (Automa - 72) - Albion (me - 71)
01.05.2018	Scythe	1.4	Albion (Automa - 71) - Saxony (Automa - 72) - Togawa (me - 82)
01.05.2018	Scythe	1.3	Togawa (Automa - 72) - Nordic (Automa - 58) - Polania (me - 70)
04.05.2018	Scythe	1.2	Togawa (Automa - 67) - Nordic (Automa - 56) - Polania (me - 102)
05.05.2018	Xenoshyft	1	Command Center - Round 9 - lose
05.05.2018	Xenoshyft	0.6	Armory - Round 7 - lose
05.05.2018	Xenoshyft	0.3	Armory - Round 5 - lose
05.05.2018	Xenoshyft	0.5	Armory - 7 HP left - win
06.05.2018	Xenoshyft	0.5	Science Lab - 9 HP left - win
06.05.2018	Terraforming Mars	1	Inventrix - 82 pts - win
06.05.2018	FUSE	0.2	Insane - 4 remaining
06.05.2018	FUSE	0.2	Insane - 4 remaining
06.05.2018	FUSE	0.2	Insane - 2 remaining
07.05.2018	Fields of Arle	1.2	91.5
07.05.2018	Fields of Arle	1	101
07.05.2018	X-Wing	5	Epic (350 pts) - Mad* vs Hanqian
07.05.2018	Onitama	0.4	Mad vs Hanqian*
07.05.2018	The Duke	0.5	Mad* vs Hanqian
09.05.2018	Fields of Arle	1.2	110
12.05.2018	Rallyman	0.5	May rally
12.05.2018	Viticulture	0.9	Misplay - didn't use bonuses from actions
13.05.2018	Viticulture	0.9	38 : 33 - win
13.05.2018	Sylvion	0.6	with Ravage - win
13.05.2018	Glass Road	0.7	lake strategy - 22.5 pts
13.05.2018	Glass Road	0.5	many blue buildings - 27.5 pts
13.05.2018	Hoplomachus Origins	0.4	Trial 13 - win (misplay)
13.05.2018	Hoplomachus Origins	0.2	Trial 14 - win(?)
14.05.2018	Pandemic: The Cure	0.5	Dispatcher - Field Director - Contingency Planer: lose
14.05.2018	Pandemic: The Cure	0.5	Archivist - Generalist - Quarantine Specialist - win
15.05.2018	Viticulture	0.5	 Episode 1 - 15 : 25 - lose
15.05.2018	Viticulture	0.5	Episode 1 - 15 : 21 - lose
15.05.2018	Viticulture	0.5	Episode 1 - 21 : 21 - lose
15.05.2018	Viticulture	0.6	Episode 1 - 24 : 21 - win
16.05.2018	Viticulture	0.6	Episode 2 rev2.1 - 37 : 36 - win
16.05.2018	Viticulture	0.6	Episode 2 rev2.2 - 30 : 27 - win
16.05.2018	Viticulture	0.7	Episode 3 rev2.1 - 37 : 36 - win
17.05.2018	Viticulture	0.4	Episode 1 rev2.4 - 2 : 17 - lose
17.05.2018	Viticulture	0.4	Episode 1 rev2.4 - 16 : 17 - lose
19.05.2018	Viticulture	0.4	Episode 1 rev2.4 - 8 : 16 - lose
19.05.2018	Viticulture	0.4	Episode 1 rev2.4 - 15 : 16 - lose
19.05.2018	Viticulture	0.4	Episode 1 rev2.4 - 15 : 16 - lose
19.05.2018	Viticulture	0.4	Episode 1 rev2.4 - 16 : 20 - lose
20.05.2018	Viticulture	0.4	Episode 1 rev2.4 - 17 : 16 - win
20.05.2018	Viticulture	0.5	Episode 2 rev2.2 - 30 : 28 - win
20.05.2018	Viticulture	0.4	Episode 3 rev2.2 - 22 : 20 - win
20.05.2018	Viticulture	0.4	Episode 3 rev2.2 - 31 : 26 - win
23.05.2018	Founders of Gloomhaven	2	Orchids - easy - win (misplaced one prestige building)
24.05.2018	Town Center	0.5	63 pts
01.06.2018	Renegade	0.75	Simulation - Tilda Sweet - win
01.06.2018	Renegade	0.75	Alpha-Moby - Tilda Sweet - win
01.06.2018	Renegade	0.5	Spider - Tilda Sweet - lose
01.06.2018	Renegade	1	Spider - Tilda Sweet - win
01.06.2018	Renegade	1	Viking - Tilda Sweet - win
01.06.2018	Renegade	0.3	Mother - Tilda Sweet - lose
01.06.2018	Renegade	1	Mother - Tilda Sweet - win
06.06.2018	Renegade	0.2	Mother - Hettie Magnetic - lose
06.06.2018	Renegade	0.7	Mother - Hettie Magnetic - win
06.06.2018	Renegade	0.3	Logi - Hettie Magnetic - lose
10.06.2018	Spirit Island	0.8	Heart of the Wildfire - easy - lose
10.06.2018	Spirit Island	1.2	Heart of the Wildfire - easy - win
14.06.2018	Spirit Island	0.8	Serpent slumbering beneath the Island - easy - win
14.06.2018	Spirit Island	1	Sharp Fangs Behind the Leaves - easy - win
16.06.2018	Spirit Island	1	Keeper of the Forbidden Wilds - easy - win
17.06.2018	Spirit Island	0.7	Bringer of Nightmares and Dreams - easy - win
18.06.2018	Rallyman	0.5	June Cup
23.06.2018	Hive	0.5	Mad vs Lma
23.06.2018	Hive	0.7	Mad vs Lma
24.06.2018	Hive	0.4	Mad vs Lma
24.06.2018	Hive	0.4	Mad vs Lma
01.07.2018	Fugitive	0.25	Mad vs Shannon
01.07.2018	Fugitive	0.25	Mad vs Shannon
01.07.2018	Fugitive	0.25	Mad vs Shannon
01.07.2018	Hero Realms	0.4	Mad vs Shannon
01.07.2018	Hero Realms	0.4	Mad vs Shannon
01.07.2018	Grand Austria Hotel	2	Mad vs Shannon
09.07.2018	Caverna - Cave vs Cave	0.5	48 points?
15.07.2018	Silverton	1	Denver $6000 - 12 turns
15.07.2018	Crokinole	1.25	Mad 1 vs Lma 4
16.07.2018	Fog of Love	2	H&M (already played some months ago, never finished)
27.07.2018	Silverton	3.5	Denver campaign - $52,965
28.07.2018	Rallyman	0.5	July Cup
03.08.2018	Arkham Horror - LCG	2	Deckbuilding: Jenny Barnes, Ashcan Pete - Path to Carcosa
06.08.2018	Arkham Horror - LCG	1.5	Path to Carcosa - Scenario 1
08.08.2018	Arkham Horror - LCG	1.5	Path to Carcosa - Scenario 2 - R0
09.08.2018	Arkham Horror - LCG	1.25	Path to Carcosa - Scenario 3 - R4
10.08.2018	Arkham Horror - LCG	1.25	Path to Carcosa - Scenario 4
11.08.2018	Arkham Horror - LCG	1.5	Path to Carcosa - Scenario 5
11.08.2018	Arkham Horror - LCG	1.25	Path to Carcosa - Scenario 6
12.08.2018	Arkham Horror - LCG	1.5	Path to Carcosa - Scenario 7
12.08.2018	Arkham Horror - LCG	1.25	Path to Carcosa - Scenario 8 - win
19.08.2018	Mechs vs Minions	1.25	Scenario 10 - lose
19.08.2018	Rallyman	0.5	August Cup
23.08.2018	Scythe	1.5	Episode 1 - Saxony 79 - Togawa 70 - Nordic 65
24.08.2018	Scythe	1.75	Episode 2a - Saxony 109 - Togawa 71 - Nordic 75
25.08.2018	Scythe	1.75	Episode 3 - Saxony 76 - Togawa 79 - Nordic 68
26.08.2018	Scythe	2	Episode 4 - Saxony 93 - Togawa 78 - Nordic 62
28.08.2018	Scythe	1.5	Episode 5 - Saxony XX - Togawa XX - Nordic XX
30.08.2018	Scythe	1.5	Episode 6 - Saxony XX - Togawa XX - Nordic XX
01.09.2018	Scythe	1.5	Episode 7 - Saxony XX - Togawa XX - Nordic XX
02.09.2018	Scythe	1.5	Episode 8a - Saxony XX - Togawa XX - Nordic XX
05.09.2018	Terraforming Mars	1	SpaceWay - 74 points - win
09.09.2018	Spirit Island	0.75	Northern Winds Bring Winter - easy - lose
12.09.2018	Spirit Island	1.25	Northern Winds Bring Winter - easy - win
14.09.2018	Spirit Island	1.25	All the Lights that Dance - easy - win
19.09.2018	Detective	3.5	Case 1 - 2 pts
23.09.2018	The Pursuit of Happiness	1.5	Shannon - Mad*
23.09.2018	Limes	0.3	Shannon - Mad*
23.09.2018	Limes	0.3	Shannon - Mad* 52
23.09.2018	Mint Works	0.4	Shannon - Mad*
23.09.2018	Mint Works	0.25	Mad - Mort - lose
23.09.2018	Mint Works	0.25	Mad - Mort - win
23.09.2018	Mint Works	0.25	Mad - Rachael - lose
23.09.2018	Mint Works	0.25	Mad - Rachael - win
23.09.2018	Mint Works	0.25	Mad - Justin - win
24.09.2018	Palm Island	0.25	19 pts
24.09.2018	Palm Island	0.25	23 pts
25.09.2018	Palm Island	0.25	25 pts
26.09.2018	Palm Island	0.25	24 pts
26.09.2018	Palm Island	0.25	26 pts
26.09.2018	Too Many Bones	5	Picket, Patches, Stanza, Tink vs. Kolossus - normal - win
26.09.2018	Palm Island	0.25	23 pts
26.09.2018	Palm Island	0.25	29 pts
26.09.2018	Palm Island	0.25	26 pts
26.09.2018	Palm Island	0.25	31 pts
26.09.2018	Palm Island	0.25	27 pts
27.09.2018	Palm Island	0.25	27 pts
27.09.2018	Palm Island	0.25	24 pts
28.09.2018	Palm Island	0.25	34 pts
28.09.2018	Palm Island	0.25	34 pts
28.09.2018	Palm Island	0.25	25 pts
29.09.2018	Palm Island	0.25	32 pts
29.09.2018	Palm Island	0.25	32 pts
30.09.2018	Palm Island	0.25	35 pts
30.09.2018	Palm Island	0.25	30 pts
01.10.2018	Palm Island	0.25	24 pts
01.10.2018	Palm Island	0.25	29 pts
01.10.2018	Deep Space D-6	0.7	Easy - win
04.10.2018	Too Many Bones	3.5	Picket, Stanza, Duster, Nugget vs. Barnacle - normal - win
06.10.2018	Too Many Bones	6	Picket, Stanza, Duster, Gasket vs. The Goblin King - normal - win
06.10.2018	Palm Island	0.25	27 pts (trying all lvl2)
06.10.2018	Palm Island	0.25	24 pts (trying all lvl2)
06.10.2018	Palm Island	0.25	24 pts (trying all lvl2)
12.10.2018	Scythe	3.5	Mad - Ri - Sami
17.10.2018	Palm Island	0.25	20 pts (trying all lvl2)
17.10.2018	Palm Island	0.25	20 pts (trying all lvl2)
17.10.2018	Palm Island	0.25	?? pts (trying all lvl2)
31.10.2018	Tramways Engineers Workbook	0.15	Scenario1 - misplay
31.10.2018	Tramways Engineers Workbook	0.15	Scenario 1 - lose
31.10.2018	Tramways Engineers Workbook	0.15	Scenario 1 - lose
31.10.2018	Tramways Engineers Workbook	0.15	Scenario 1 - win
31.10.2018	Tramways Engineers Workbook	0.15	Scenario 2 - lose
31.10.2018	Tramways Engineers Workbook	0.15	Scenario 2 - win
31.10.2018	Tramways Engineers Workbook	0.15	Scenario 3 - lose
31.10.2018	Tramways Engineers Workbook	0.15	Scenario 3 - win
31.10.2018	Tramways Engineers Workbook	0.15	Scenario 4 - win
31.10.2018	Tramways Engineers Workbook	0.15	Scenario 5 - lose
01.11.2018	Tramways Engineers Workbook	0.15	Scenario 5 - lose
01.11.2018	Tramways Engineers Workbook	0.15	Scenario 5 - win
01.11.2018	Roll Player	0.5	Halfling - Ranger - Resilient - Sociopath: 36 pts
01.11.2018	Roll Player	0.5	Halfling - Bard - Street Urchin - Renegade: 37 pts
01.11.2018	Roll Player	0.5	Dwarfen - Monk - Patrician - Sentinel: 37 pts
01.11.2018	Roll Player	0.5	Dwarfen - Monk - Patrician - Sentinel: 37 pts
01.11.2018	Roll Player	0.5	Dwarfen - Monk - Patrician - Sentinel: 37 pts
02.11.2018	Tramways Engineers Workbook	0.15	Scenario 6 - lose
02.11.2018	Tramways Engineers Workbook	0.15	Scenario 6 - lose
02.11.2018	Tramways Engineers Workbook	0.15	Scenario 6 - lose
02.11.2018	Tramways Engineers Workbook	0.15	Scenario 6 - win
02.11.2018	Tramways Engineers Workbook	0.15	Scenario 7 - lose
03.11.2018	Roll Player	0.5	Dwarfen - Monk - Patrician - Sentinel: 33 pts
03.11.2018	Roll Player	0.5	Dwarfen - Monk - Patrician - Sentinel: 34 pts
04.11.2018	Roll Player	0.5	Dwarfen - Monk - Patrician - Sentinel: 30 pts
04.11.2018	Roll Player	0.5	Dwarfen - Monk - Patrician - Sentinel: 42 pts
04.11.2018	Tramways Engineers Workbook	0.15	Scenario 7 - lose
04.11.2018	Tramways Engineers Workbook	0.15	Scenario 7 - lose
04.11.2018	Palm Island	0.25	Mark of balance - lose
04.11.2018	Palm Island	0.25	Mark of balance - lose
04.11.2018	Palm Island	0.25	Mark of balance - lose
04.11.2018	Palm Island	0.25	Mark of balance - lose
05.11.2018	Tramways Engineers Workbook	0.15	Scenario 7 - lose
05.11.2018	Tramways Engineers Workbook	0.15	Scenario 7 - lose
05.11.2018	Tramways Engineers Workbook	0.15	Scenario 7 - lose
05.11.2018	Tramways Engineers Workbook	0.15	Scenario 7 - lose
05.11.2018	Tramways Engineers Workbook	0.15	Scenario 7 - lose
05.11.2018	Tramways Engineers Workbook	0.15	Scenario 7 - lose
05.11.2018	Tramways Engineers Workbook	0.15	Scenario 7 - lose
05.11.2018	Tramways Engineers Workbook	0.15	Scenario 7 - lose
05.11.2018	Tramways Engineers Workbook	0.15	Scenario 7 - lose
05.11.2018	Tramways Engineers Workbook	0.15	Scenario 7 - lose
07.11.2018	Far Space Foundry	0.4	11 pts
08.11.2018	Far Space Foundry	0.4	20 pts
10.11.2018	Far Space Foundry	0.4	18 pts
11.11.2018	Far Space Foundry	0.4	26 pts
12.11.2018	Palm Island	0.25	Mark of balance - win
12.11.2018	Tramways Engineers Workbook	0.15	Scenario 7 - lose
12.11.2018	Tramways Engineers Workbook	0.15	Scenario 7 - lose
12.11.2018	Tramways Engineers Workbook	0.15	Scenario 7 - lose
12.11.2018	Tramways Engineers Workbook	0.15	Scenario 7 - lose
12.11.2018	Tramways Engineers Workbook	0.15	Scenario 7 - lose
12.11.2018	Tramways Engineers Workbook	0.15	Scenario 7 - lose
12.11.2018	Tramways Engineers Workbook	0.15	Scenario 7 - lose
12.11.2018	Tramways Engineers Workbook	0.15	Scenario 7 - lose
12.11.2018	Tramways Engineers Workbook	0.15	Scenario 7 - win
12.11.2018	Tramways Engineers Workbook	0.15	Scenario 7 - win
12.11.2018	Tramways Engineers Workbook	0.15	Scenario 8 - lose
12.11.2018	Tramways Engineers Workbook	0.15	Scenario 8 - lose
15.11.2018	Dice Settlers	1.5	94 - 83
16.11.2018	Dice Settlers	0.7	50 - 45
16.11.2018	Dice Settlers	0.7	88 - 48
17.11.2018	1066 Tears to many mothers	1.25	Normal - Saxons - win
17.11.2018	1066 Tears to many mothers	1.25	Hard - Saxons - win - 39 pts
20.11.2018	1066 Tears to many mothers	1	Hard - Saxons - win - 63 pts
21.11.2018	1066 Tears to many mothers	1	Hard - Normans - win - 50 pts
30.11.2018	Rallyman	0.5	November Cup Race
06.12.2018	Petrichor	0.8	Easy - win
08.12.2018	Petrichor	0.6	Medium - win
08.12.2018	Petrichor	0.6	Hard - 45:46 - lose
08.12.2018	Hero Realms	0.6	Dragon - win
08.12.2018	Hero Realms	0.6	Dragon - lose
08.12.2018	Hero Realms	0.3	Dragon - lose
08.12.2018	Hero Realms	0.2	Dragon - lose
08.12.2018	Hero Realms	0.2	Dragon - lose
09.12.2018	Hero Realms	0.3	Dragon: -5 : 21 - lose
09.12.2018	Hero Realms	0.5	Dragon - win (easy Ring of Wishes)
09.12.2018	Hero Realms	0.3	Dragon: -3 : 51 - lose
09.12.2018	Hero Realms	0.4	* Mad vs Lma
09.12.2018	Hero Realms	0.3	Mad vs Lma *
09.12.2018	Dvonn	0.4	Mad vs Lma *
09.12.2018	Dvonn	0.4	* Mad vs Lma
09.12.2018	Dvonn	0.4	* Mad vs Lma
09.12.2018	Dvonn	0.4	* Mad vs Lma
09.12.2018	Pünct	0.5	* Mad vs Lma
09.12.2018	Hero Realms	0.3	Dragon - lose
09.12.2018	Hero Realms	0.3	Dragon: 18 : -21 - win
09.12.2018	Kodama	0.5	131 - 123
09.12.2018	Kodama	0.5	124 - 110
11.12.2018	Palm Island	0.3	Monument of Glory - 29 pts - lose
15.12.2018	Kodama	0.4	108 pts
15.12.2018	Kodama	0.4	148 pts
18.12.2018	Fields of Arle	1	93 pts (incl. Tea and Trade)
18.12.2018	Terraforming Mars	1	First time with prelude - lose
18.12.2018	Imperial Settlers	1	Amazons - 78 pts
19.12.2018	Mansions of Madness	2.5	Scenario 1 - win (technically lose because Wendy died early)
20.12.2018	Castles of Burgundy: Dice Game	0.5	A - 49 pts
20.12.2018	Castles of Burgundy: Dice Game	0.4	A - 53 pts
20.12.2018	Finished!	0.6	lose
20.12.2018	Finished!	0.6	lose
21.12.2018	Castles of Burgundy: Dice Game	0.3	B - 45 pts
21.12.2018	Castles of Burgundy: Dice Game	0.3	C - 60 pts
21.12.2018	Castles of Burgundy: Dice Game	0.3	C - 50 pts
21.12.2018	Castles of Burgundy: Dice Game	0.4	A - M 45 - H 50
21.12.2018	Castles of Burgundy: Dice Game	0.4	B - M 39 - H 38
21.12.2018	Castles of Burgundy: Dice Game	0.4	B - M 60 - H 63
22.12.2018	Reykholt	0.75	?
22.12.2018	Reykholt	0.6	?
22.12.2018	Viceroy	0.8	58
23.12.2018	Viceroy	0.75	59
23.12.2018	Viceroy	0.75	52
23.12.2018	Castles of Burgundy: Dice Game	0.3	A - 57 pts
23.12.2018	Castles of Burgundy: Dice Game	0.3	A - 51 pts
23.12.2018	Castles of Burgundy: Dice Game	0.3	D - 61 pts
23.12.2018	Castles of Burgundy: Dice Game	0.4	C - M 78 - H 54
23.12.2018	Castles of Burgundy: Dice Game	0.4	B - M 61 - H 35
23.12.2018	Castles of Burgundy: Dice Game	0.4	D - M 70 - H 54
23.12.2018	Mage Wars Academy	0.7	Playtest solo variant
23.12.2018	Mage Wars Academy	0.6	Playtest solo variant
25.12.2018	Mage Wars Academy	0.6	Playtest solo variant
