Date	Name	Duration	
12.09.2015	Sylvion	0.5	
13.09.2015	Tash-Kalar	1	
13.09.2015	Patchwork	0.4	
13.09.2015	Patchwork	0.4	
14.09.2015	Patchwork	0.4	
14.09.2015	Patchwork	0.4	
14.09.2015	The Duke	0.5	
14.09.2015	Sylvion	0.5	
15.09.2015	Tash-Kalar	1	
15.09.2015	The Duke	0.5	
15.09.2015	The Duke	0.5	
17.09.2015	WoW - Boardgame	4	
18.09.2015	Patchwork	0.4	
18.09.2015	Patchwork	0.4	
18.09.2015	The Duke	0.5	
18.09.2015	Star Realms	0.3	
19.09.2015	Hive	0.15	
19.09.2015	Patchwork	0.4	
19.09.2015	Hive	0.15	
19.09.2015	King of NY	0.75	
20.09.2015	Battle Line	0.25	
24.09.2015	Alchemists	2	
25.09.2015	Alchemists	2	
25.09.2015	Patchwork	0.4	
25.09.2015	Patchwork	0.4	
25.09.2015	Patchwork	0.4	
26.09.2015	Smash Up	0.6	
27.09.2015	The Duke	0.5	
27.09.2015	The Duke	0.5	
28.09.2015	Tash-Kalar	1	
29.09.2015	Star Wars: Empire vs Rebellion	1	
30.09.2015	Tash-Kalar	1	
30.09.2015	Sushi Go!	0.5	
01.10.2015	Dungeon Petz	2	
05.10.2015	Sylvion	0.5	
05.10.2015	Sylvion	0.5	
05.10.2015	Sylvion	0.5	
05.10.2015	Sylvion	0.5	
05.10.2015	Sylvion	0.5	
06.10.2015	Sylvion	0.5	
06.10.2015	Sylvion	0.5	
06.10.2015	Patchwork	0.4	
06.10.2015	Patchwork	0.4	
06.10.2015	Patchwork	0.4	
07.10.2015	Jaipur	0.6	
07.10.2015	Jaipur	0.6	
07.10.2015	Hanabi	0.4	
07.10.2015	Hanabi	0.4	
08.10.2015	Hanabi	0.4	
08.10.2015	Hanabi	0.4	
08.10.2015	Hanabi	0.4	
09.10.2015	Splendor	0.5	
10.10.2015	Hanabi	0.4	
10.10.2015	Hanabi	0.4	
10.10.2015	Hanabi	0.4	
10.10.2015	Hanabi	0.4	
11.10.2015	Hanabi	0.4	
11.10.2015	Hanabi	0.4	
11.10.2015	Hanabi	0.4	
11.10.2015	Hanabi	0.4	
11.10.2015	Hanabi	0.4	
11.10.2015	Hanabi	0.4	
12.10.2015	Hanabi	0.4	
12.10.2015	Hanabi	0.4	
12.10.2015	Hanabi	0.4	
12.10.2015	Hanabi	0.4	
12.10.2015	Hanabi	0.4	
13.10.2015	Hanabi	0.4	
13.10.2015	Hanabi	0.4	
13.10.2015	Hanabi	0.4	
14.10.2015	Hanabi	0.4	
15.10.2015	Timeline	0.1	
15.10.2015	Timeline	0.1	
15.10.2015	Timeline	0.1	
15.10.2015	Onirim	0.2	
15.10.2015	Onirim	0.2	
15.10.2015	Onirim	0.2	
16.10.2015	Timeline	0.1	
16.10.2015	Timeline	0.1	
16.10.2015	Timeline	0.1	
16.10.2015	Timeline	0.1	
16.10.2015	Onirim	0.2	
16.10.2015	Onirim	0.2	
16.10.2015	Onirim	0.2	
16.10.2015	Onirim	0.2	
16.10.2015	Onirim	0.2	
16.10.2015	Onirim	0.2	
16.10.2015	Onirim	0.2	
16.10.2015	Onirim	0.2	
16.10.2015	Onirim	0.2	
16.10.2015	Onirim	0.2	
17.10.2015	Specter Ops	1.25	
17.10.2015	Splendor	0.5	
17.10.2015	Splendor	0.5	
17.10.2015	Splendor	0.5	
17.10.2015	Jaipur	0.6	
17.10.2015	Jaipur	0.6	
17.10.2015	Onirim	0.2	
17.10.2015	Onirim	0.2	
17.10.2015	Onirim	0.2	
17.10.2015	Onirim	0.2	
17.10.2015	Onirim	0.2	
17.10.2015	Onirim	0.2	
17.10.2015	Onirim	0.2	
17.10.2015	Onirim	0.2	
