Date	Name	Duration				
11.03.2017	Star Realms	0.2				
11.03.2017	Star Realms	0.2				
11.03.2017	Star Realms	0.2				
11.03.2017	New Bedford	1	Mad (23) - Ahab (20) - Starbucks (29)			
13.03.2017	Gloomhaven	3	1 Black Barrow - Brute(1)/Tinkerer(1)/Mindthief(1) - win			
14.03.2017	Friday	0.7				
14.03.2017	Friday	0.6				
14.03.2017	Gloomhaven	3	2 Barrow Lair - Brute(1)/Tinkerer(1)/Mindthief(1) - win			
15.03.2017	Steampunk Rally	1	Elijah J. McCoy - 8 rounds - 5 into end tile			
15.03.2017	Vast: The Crystal Cavern	0.75	Goblins (unfinished)			
16.03.2017	Gloomhaven	3	3 Inox Encampment - Brute(1)/Tinkerer(1)/Mindthief(1) - win			
17.03.2017	Gloomhaven	3.5	4 Crypt of the Damned - Brute(1)/Tinkerer(1)/Mindthief(2) - win			
18.03.2017	Gloomhaven	3	5 Ruinous Crypt - Brute(2)/Tinkerer(2)/Mindthief(2) - win			
19.03.2017	Gloomhaven	2	10 Plane of Elemental Power - Brute(2)/Tinkerer(2)/Mindthief(2) - win			
19.03.2017	Gloomhaven	2.5	21 Infernal Throne - Brute(2)/Tinkerer(2)/Mindthief(2) - win			
20.03.2017	Fugitive	0.3				
20.03.2017	Fugitive	0.4				
21.03.2017	Fugitive	0.3				
21.03.2017	Fugitive	0.3				
21.03.2017	Fugitive	0.1				
21.03.2017	Fugitive	0.3				
22.03.2017	Fugitive	0.3				
22.03.2017	Fugitive	0.3				
23.03.2017	X-Wing	1.5	Technically just setup for Epic...			
24.03.2017	Letters from Whitechapel	1.5	* Mad vs Happy			
25.03.2017	Gloomhaven	2	8 Gloomhaven Warehouse - Brute(3)/Tinkerer(2)/Mindthief(3) - win			
28.03.2017	Gloomhaven	2.5	13 Temple of the Seer - Brute(3)/Tinkerer(3)/Mindthief(3) - win			
30.03.2017	Gloomhaven	3.5	20 Necromancer's Sanctum - Brute(4)/Tinkerer(3)/Mindthief(4) - win			
01.04.2017	Gloomhaven	2.5	28 Outer Ritual Chamber - Cragheart(2)/Tinkerer(4)/Mindthief(4) - lose			
01.04.2017	Crokinole	0.5	Mad vs Happy *			
01.04.2017	Crokinole	0.5	* Mad vs Happy			
02.04.2017	Crokinole	0.3	* Mad vs Happy			
02.04.2017	Crokinole	0.3	* Mad vs Happy			
02.04.2017	Crokinole	0.3	Mad vs Happy *			
02.04.2017	Crokinole	0.3	Mad vs Happy *			
02.04.2017	Crokinole	0.3	Mad vs Happy *			
02.04.2017	Crokinole	0.3	* Mad vs Happy			
04.04.2017	Food Chain Magnate	2	* Mad vs Happy			
05.04.2017	Crokinole	0.25	* Mad vs Happy			
05.04.2017	Crokinole	0.25	* Mad vs Happy			
05.04.2017	Crokinole	0.25	* Mad vs Happy			
05.04.2017	Crokinole	0.25	Mad vs Happy *			
16.04.2017	Gloomhaven	3.5	29 Sanctuary of Gloom - Cragheart(2)/Tinkerer(4)/Mindthief(4) - lose			
17.04.2017	Gloomhaven	2	9 Diamond Mine - Cragheart(2)/Tinkerer(4)/Mindthief(4) - win			
21.04.2017	Gloomhaven	4	11 Gloomhaven Square A - Cragheart(3)/Tinkerer(5)/Mindthief(5) - win			
22.04.2017	Gloomhaven	3.5	16 Mountain Pass - Cragheart(3)/Tinkerer(5)/Mindthief(5) - win			
23.04.2017	Terraforming Mars	1	Lose - 82 pts			
24.04.2017	Gloomhaven	2.5	14 Frozen Hollow - Cragheart(3)/Spellweaver(3)/Mindthief(5) - win			
25.04.2017	Gloomhaven	2.5	19 Forgotten Crypt - Cragheart(4)/Spellweaver(3)/Mindthief(6) - win			
29.04.2017	Gloomhaven	2.5	27 Ruinous Rift - Cragheart(4)/Spellweaver(3)/Mindthief(6) - win			
30.04.2017	Gloomhaven	3	93 Sunken Vessel - Cragheart(4)/Spellweaver(4)/Mindthief(6) - win			
02.05.2017	Super Motherload	0.75	* Mad vs Happy			
06.05.2017	Gold West	1.5				
06.05.2017	Scoville	1.5				
06.05.2017	Scoville	1	* Mad vs Happy			
08.05.2017	Scoville	1	* Mad vs Happy			
09.05.2017	Scoville	1	Mad vs Happy *			
12.05.2017	Gloomhaven	2.5	24 Echo Chamber - Scoundrel(4)/Spellweaver(4)/Mindthief(6) - win			
13.05.2017	Aeons End	1.5	Jian & Mist vs Rageborne - win			
14.05.2017	Aeons End	1.25	Brama & Adelheim vs Rageborne - win			
14.05.2017	Aeons End	1	Phaedraxa & Kadir vs Rageborne (hard) - win			
14.05.2017	Imperial Settlers	1.5	Atlanteans - 154			
17.05.2017	Limes	0.2	33			
