Date	Name	Duration	
15.01.2019	Keyforge	1.5	Mad - Happy
15.01.2019	Android: Netrunner	0.5	Core Exp: RP (me) vs Gabe - lose
15.01.2019	Android: Netrunner	0.5	Core Exp: RP (me) vs Leela - lose
15.01.2019	Android: Netrunner	0.5	Core Exp: Gabe (me) vs Blue Sun - lose
20.01.2019	Keyforge	1.2	Mad - Happy
20.01.2019	Keyforge	0.8	Mad - Happy
28.01.2019	Crokinole	0.25	Mad - Amon
28.01.2019	Crokinole	0.25	Mad - Da Ge
28.01.2019	Crokinole	0.2	Mad - Da Ge
02.02.2019	Keyforge	0.75	Prism the Earnestly Craven - lose
03.02.2019	Keyforge	0.75	Prism the Earnestly Craven - win
03.02.2019	Keyforge	0.75	Prism the Earnestly Craven - lose
03.02.2019	Keyforge	0.7	Prism the Earnestly Craven - win
03.02.2019	Keyforge	0.5	Prism the Earnestly Craven - win
03.02.2019	Keyforge	0.6	Prism the Earnestly Craven - lose
04.02.2019	Caverna - Cave vs Cave	1.5	167.5 pts
04.02.2019	Keyforge	0.75	Mad - Happy
04.02.2019	Keyforge	0.75	Mad - Happy
05.02.2019	Keyforge	0.75	Mad - Happy
08.02.2019	The Gallerist	2.5	Fail (no curator goals finished)
17.02.2019	Sprawlopolis	0.3	23/28 pts - lose
20.02.2019	Circle the Wagons	0.3	39 - 41 - lose
20.02.2019	Twin Stars: Adventure Series	0.3	Scenario 1 - win
20.02.2019	Pentaquark	0.3	4/5 - lose
24.02.2019	Crokinole	0.25	Mad - Saiban
24.02.2019	Crokinole	0.1	Mad - Saiban
24.02.2019	Crokinole	0.25	Mad - Saiban
01.03.2019	Rallyman	0.75	February Cup
02.03.2019	The Gallerist	2	Master gallerist - lose (two reputation tiles missing)
03.03.2019	Gugong	1.25	normal - 36 - 49 - lose
03.03.2019	Gugong	1	normal - 28 - 36 - lose
06.03.2019	Nusfjord	0.6	Plaice deck - 35 pts
13.03.2019	Nusfjord	0.6	Plaice deck - 35 pts
13.03.2019	Nusfjord	0.5	Plaice deck - 36 pts
15.03.2019	7 Wonders Duel	1	Pantheon - Pericles - 71 - 80 - lose
